step, loss, STT_loss, TTS_loss 
0 , 1.877, 0.946, 0.931 
5 , 2.684, 0.942, 1.742 
10 , 1.811, 0.937, 0.873 
15 , 1.102, 0.901, 0.202 
20 , 0.579, 0.398, 0.181 
25 , 0.448, 0.326, 0.121 
30 , 0.274, 0.178, 0.097 
35 , 0.228, 0.133, 0.096 
40 , 0.210, 0.133, 0.077 
45 , 0.194, 0.123, 0.070 
50 , 0.182, 0.111, 0.072 
55 , 0.150, 0.092, 0.059 
60 , 0.138, 0.078, 0.061 
65 , 0.175, 0.099, 0.076 
70 , 0.340, 0.277, 0.063 
75 , 0.322, 0.222, 0.101 
80 , 0.129, 0.072, 0.058 
85 , 0.182, 0.098, 0.083 
90 , 0.150, 0.082, 0.067 
95 , 0.303, 0.196, 0.107 
100 , 0.149, 0.085, 0.063 
105 , 0.158, 0.087, 0.072 
110 , 0.134, 0.075, 0.058 
115 , 0.191, 0.111, 0.081 
120 , 0.163, 0.091, 0.073 
125 , 0.135, 0.073, 0.062 
130 , 0.151, 0.083, 0.068 
135 , 0.150, 0.086, 0.064 
140 , 0.195, 0.116, 0.079 
145 , 0.133, 0.071, 0.062 
150 , 0.178, 0.098, 0.080 
155 , 0.211, 0.129, 0.082 
160 , 0.135, 0.074, 0.061 
165 , 0.137, 0.075, 0.062 
170 , 0.155, 0.086, 0.068 
175 , 0.142, 0.079, 0.064 
180 , 0.133, 0.071, 0.061 
185 , 0.129, 0.072, 0.058 
190 , 0.133, 0.077, 0.056 
195 , 0.145, 0.085, 0.060 
200 , 0.208, 0.127, 0.080 
205 , 0.140, 0.079, 0.061 
210 , 0.135, 0.074, 0.061 
215 , 0.149, 0.077, 0.072 
220 , 0.150, 0.080, 0.071 
225 , 0.157, 0.089, 0.068 
230 , 0.136, 0.073, 0.062 
235 , 0.130, 0.071, 0.059 
240 , 0.150, 0.068, 0.081 
245 , 0.160, 0.087, 0.073 
250 , 0.137, 0.078, 0.059 
255 , 0.170, 0.093, 0.078 
260 , 0.134, 0.073, 0.061 
265 , 0.146, 0.081, 0.065 
270 , 0.152, 0.085, 0.067 
275 , 0.138, 0.081, 0.056 
280 , 0.137, 0.079, 0.058 
285 , 0.145, 0.084, 0.061 
290 , 0.132, 0.071, 0.062 
295 , 0.170, 0.096, 0.074 
300 , 0.132, 0.076, 0.056 
305 , 0.143, 0.083, 0.060 
310 , 0.256, 0.167, 0.089 
315 , 0.147, 0.085, 0.062 
320 , 0.173, 0.095, 0.078 
325 , 0.173, 0.101, 0.072 
330 , 0.175, 0.099, 0.077 
335 , 0.176, 0.098, 0.078 
340 , 0.154, 0.085, 0.069 
345 , 0.224, 0.130, 0.094 
350 , 0.145, 0.083, 0.062 
355 , 0.164, 0.092, 0.072 
360 , 0.167, 0.101, 0.066 
365 , 0.177, 0.106, 0.071 
370 , 0.147, 0.085, 0.062 
375 , 0.153, 0.091, 0.062 
380 , 0.262, 0.165, 0.098 
385 , 0.147, 0.085, 0.062 
390 , 0.167, 0.097, 0.071 
395 , 0.163, 0.094, 0.069 
400 , 0.149, 0.092, 0.057 
405 , 0.264, 0.165, 0.099 
410 , 0.152, 0.094, 0.057 
415 , 0.181, 0.105, 0.076 
420 , 0.216, 0.129, 0.087 
425 , 0.196, 0.114, 0.082 
430 , 0.166, 0.103, 0.063 
435 , 0.179, 0.109, 0.070 
440 , 0.171, 0.104, 0.066 
445 , 0.155, 0.099, 0.056 
450 , 0.201, 0.120, 0.081 
455 , 0.150, 0.095, 0.054 
460 , 0.173, 0.110, 0.064 
465 , 0.167, 0.103, 0.064 
470 , 0.208, 0.127, 0.081 
475 , 0.182, 0.113, 0.069 
480 , 0.161, 0.107, 0.054 
485 , 0.174, 0.112, 0.062 
490 , 0.211, 0.136, 0.076 
495 , 0.187, 0.119, 0.068 
500 , 0.174, 0.111, 0.063 
505 , 0.218, 0.138, 0.080 
510 , 0.212, 0.136, 0.077 
515 , 0.197, 0.123, 0.074 
520 , 0.186, 0.122, 0.064 
525 , 0.233, 0.156, 0.077 
530 , 0.184, 0.123, 0.061 
535 , 0.198, 0.132, 0.066 
540 , 0.221, 0.139, 0.082 
545 , 0.207, 0.136, 0.072 
550 , 0.198, 0.137, 0.061 
555 , 0.189, 0.127, 0.062 
560 , 0.199, 0.132, 0.067 
565 , 0.198, 0.133, 0.065 
570 , 0.207, 0.144, 0.063 
575 , 0.200, 0.140, 0.060 
580 , 0.201, 0.140, 0.060 
585 , 0.204, 0.145, 0.060 
590 , 0.202, 0.144, 0.058 
595 , 0.206, 0.149, 0.058 
600 , 0.207, 0.141, 0.066 
605 , 0.210, 0.152, 0.058 
610 , 0.299, 0.199, 0.100 
615 , 0.206, 0.150, 0.056 
620 , 0.217, 0.153, 0.065 
625 , 0.220, 0.159, 0.061 
630 , 0.219, 0.157, 0.062 
635 , 0.237, 0.164, 0.074 
640 , 0.229, 0.168, 0.061 
645 , 0.248, 0.177, 0.071 
650 , 0.225, 0.165, 0.059 
655 , 0.262, 0.182, 0.081 
660 , 0.309, 0.211, 0.098 
665 , 0.253, 0.180, 0.073 
670 , 0.246, 0.180, 0.065 
675 , 0.266, 0.192, 0.074 
680 , 0.237, 0.178, 0.059 
685 , 0.238, 0.178, 0.060 
690 , 0.249, 0.187, 0.061 
695 , 0.240, 0.180, 0.059 
700 , 0.250, 0.188, 0.062 
705 , 0.250, 0.188, 0.062 
710 , 0.315, 0.225, 0.090 
715 , 0.296, 0.212, 0.084 
720 , 0.257, 0.196, 0.062 
725 , 0.277, 0.200, 0.077 
730 , 0.266, 0.202, 0.064 
735 , 0.256, 0.200, 0.055 
740 , 0.329, 0.241, 0.088 
745 , 0.274, 0.215, 0.060 
750 , 0.268, 0.203, 0.065 
755 , 0.310, 0.226, 0.083 
760 , 0.325, 0.233, 0.092 
765 , 0.290, 0.223, 0.067 
770 , 0.279, 0.219, 0.060 
775 , 0.289, 0.225, 0.064 
780 , 0.290, 0.225, 0.065 
785 , 0.288, 0.228, 0.060 
790 , 0.309, 0.235, 0.074 
795 , 0.294, 0.232, 0.062 
800 , 0.305, 0.235, 0.070 
805 , 0.312, 0.239, 0.073 
810 , 0.365, 0.272, 0.093 
815 , 0.295, 0.240, 0.055 
820 , 0.342, 0.256, 0.086 
825 , 0.377, 0.275, 0.102 
830 , 0.311, 0.247, 0.063 
835 , 0.316, 0.252, 0.064 
840 , 0.315, 0.251, 0.064 
845 , 0.317, 0.253, 0.064 
850 , 0.322, 0.261, 0.061 
855 , 0.346, 0.268, 0.077 
860 , 0.324, 0.266, 0.058 
865 , 0.324, 0.265, 0.059 
870 , 0.324, 0.267, 0.056 
875 , 0.340, 0.273, 0.068 
880 , 0.330, 0.271, 0.059 
885 , 0.339, 0.276, 0.063 
890 , 0.371, 0.285, 0.086 
895 , 0.337, 0.281, 0.056 
900 , 0.356, 0.287, 0.070 
905 , 0.350, 0.287, 0.063 
