step, loss 
0 , 6001.58
100 , 81.98
200 , 104.17
200 , 76.84
300 , 66.13
400 , 69.21
500 , 103.33
600 , 96.53
700 , 87.10
800 , 100.33
900 , 100.29
1000 , 71.58
1100 , 116.22
1100 , 92.28
1100 , 74.39
1200 , 77.13
1300 , 120.43
1400 , 138.36
1500 , 80.16
1600 , 67.96
1400 , 80.82
1400 , 80.49
1400 , 64.40
1500 , 55.22
1600 , 59.81
1700 , 39.54
1800 , 56.05
1900 , 60.03
2000 , 129.48
2000 , 88.07
2100 , 82.58
2200 , 140.36
2300 , 46.68
2400 , 66.84
2500 , 64.99
2600 , 48.94
2700 , 44.07
2800 , 89.55
2900 , 46.77
3000 , 47.01
3100 , 53.50
3200 , 70.66
3200 , 41.03
3300 , 99.15
3400 , 70.82
3500 , 59.71
3600 , 56.59
3700 , 63.33
3800 , 56.08
3900 , 57.75
4000 , 73.41
4100 , 67.33
4200 , 70.51
4300 , 68.87
4400 , 56.43
4500 , 62.12
4600 , 77.46
4700 , 133.88
4700 , 115.23
4700 , 83.09
4700 , 98.52
4800 , 71.96
4900 , 76.20
5000 , 72.31
5000 , 108.42
5100 , 65.47
5200 , 68.51
5300 , 40.72
5400 , 34.42
5500 , 35.19
5600 , 32.85
5700 , 45.03
5700 , 51.24
5800 , 71.48
5900 , 52.91
6000 , 65.16
6100 , 49.06
6200 , 54.04
6300 , 40.86
6400 , 81.01
6500 , 62.37
6500 , 56.53
6500 , 43.56
6600 , 55.77
6700 , 68.52
6800 , 75.91
6900 , 100.57
7000 , 73.16
7000 , 75.97
7100 , 81.88
7200 , 44.91
7300 , 67.29
7400 , 82.21
7500 , 80.25
7600 , 74.10
7600 , 104.76
7700 , 51.07
7800 , 63.19
7800 , 87.89
7800 , 76.75
7900 , 62.24
8000 , 78.61
8100 , 53.48
8100 , 54.68
8200 , 79.05
8300 , 60.45
8400 , 84.48
8400 , 64.89
8500 , 60.70
8600 , 63.29
8700 , 70.10
8800 , 81.26
8900 , 46.02
8900 , 44.74
9000 , 68.91
9100 , 81.27
9100 , 78.23
9100 , 65.33
9100 , 92.59
9200 , 58.39
9300 , 98.31
9400 , 43.98
9400 , 83.55
9400 , 55.62
9400 , 65.06
9500 , 61.59
9600 , 44.27
9600 , 70.65
9700 , 56.90
9800 , 70.38
9900 , 63.19
10000 , 52.00
10100 , 63.63
10100 , 71.78
10200 , 82.06
10300 , 96.55
10400 , 53.84
10500 , 53.87
10500 , 63.11
10600 , 55.57
10700 , 56.43
10800 , 87.89
10900 , 64.20
10900 , 88.89
10900 , 103.48
11000 , 105.34
11000 , 121.22
11000 , 68.09
11100 , 77.45
11200 , 129.72
11300 , 68.31
11400 , 78.07
11500 , 60.06
11600 , 71.32
11700 , 74.32
11800 , 86.02
11800 , 78.22
11800 , 94.81
11900 , 77.74
12000 , 77.67
12100 , 88.56
12200 , 102.68
12300 , 83.48
12400 , 109.87
12500 , 82.55
12400 , 62.38
12400 , 68.70
12300 , 81.69
12300 , 68.83
12300 , 90.55
12300 , 89.31
12300 , 68.38
12300 , 66.34
12300 , 61.25
12300 , 63.55
12300 , 91.00
12300 , 64.73
12300 , 49.11
12400 , 53.19
12500 , 61.28
12600 , 51.83
12700 , 64.71
12800 , 93.52
12900 , 77.96
13000 , 58.66
13100 , 62.50
13100 , 75.37
13200 , 69.31
13200 , 58.80
13300 , 111.33
13400 , 66.89
13500 , 46.99
13600 , 88.89
13600 , 73.74
13700 , 65.67
13800 , 80.28
13900 , 78.70
14000 , 55.98
14100 , 64.72
14200 , 54.77
14300 , 66.16
14400 , 54.09
14500 , 71.00
14500 , 54.95
14600 , 74.51
14700 , 82.07
14800 , 99.65
14900 , 71.11
15000 , 55.05
15000 , 59.29
15100 , 68.93
15200 , 67.10
15300 , 72.46
15300 , 53.91
15400 , 52.63
15500 , 105.02
15600 , 70.70
15700 , 71.78
15800 , 61.18
15900 , 60.64
16000 , 53.97
16100 , 41.03
16200 , 63.83
16300 , 62.86
16400 , 62.01
16500 , 46.06
16600 , 49.78
16700 , 58.47
16800 , 46.59
16800 , 38.46
16900 , 38.31
16900 , 37.30
16900 , 36.71
17000 , 50.36
17100 , 48.40
17200 , 51.83
17300 , 51.44
17300 , 49.46
17400 , 31.90
17500 , 51.35
17500 , 40.08
17600 , 38.13
17600 , 40.07
17700 , 42.47
17700 , 56.98
17800 , 67.45
17900 , 56.92
18000 , 64.00
18100 , 58.81
18200 , 44.75
18300 , 84.04
18400 , 120.87
18400 , 46.41
18500 , 85.76
18500 , 81.28
18600 , 49.42
18600 , 77.57
18700 , 56.08
18800 , 72.22
18900 , 82.01
19000 , 73.91
19100 , 69.91
19200 , 50.40
19300 , 44.78
19300 , 44.57
19400 , 96.62
19500 , 135.93
19600 , 67.47
19700 , 72.32
19800 , 60.69
19900 , 64.65
20000 , 53.36
20100 , 64.30
20200 , 46.91
20300 , 47.61
20400 , 82.46
20400 , 86.44
20500 , 56.20
20600 , 73.03
20700 , 43.12
20800 , 70.21
20800 , 87.11
20900 , 80.10
21000 , 124.47
21100 , 46.87
21200 , 61.19
21300 , 80.10
21300 , 65.57
21400 , 59.75
21500 , 46.15
21500 , 47.15
21500 , 50.89
21600 , 52.59
21600 , 49.99
21700 , 52.47
21800 , 121.79
21900 , 85.06
22000 , 85.43
22000 , 79.47
22100 , 68.50
22200 , 64.84
22300 , 87.09
22400 , 77.08
22500 , 91.19
22600 , 116.08
22600 , 69.49
22700 , 55.72
22800 , 65.93
22900 , 74.25
23000 , 61.15
23000 , 67.64
23100 , 66.52
23200 , 67.47
23200 , 80.54
23300 , 65.83
23300 , 69.80
23100 , 75.37
23100 , 54.57
23200 , 57.99
23300 , 64.35
23400 , 79.63
23500 , 44.68
23600 , 50.16
23700 , 130.79
23800 , 89.21
23900 , 114.13
24000 , 91.21
24100 , 86.89
24100 , 68.93
24200 , 87.43
24300 , 89.58
24400 , 54.89
24500 , 85.05
24600 , 61.26
24700 , 78.27
24700 , 60.46
24700 , 55.23
24800 , 91.24
24900 , 61.40
25000 , 40.95
25100 , 51.09
25100 , 118.23
25200 , 30.89
25300 , 57.14
25400 , 59.46
25500 , 67.80
25600 , 60.24
25700 , 45.04
25800 , 64.98
25900 , 52.01
26000 , 57.41
26100 , 45.79
26200 , 61.60
26300 , 88.41
26400 , 73.07
26400 , 98.14
26500 , 68.60
26600 , 56.43
26700 , 61.90
26800 , 60.79
26900 , 52.38
27000 , 42.37
27100 , 58.06
27200 , 66.46
27300 , 57.11
27400 , 57.44
27500 , 51.56
27600 , 52.22
27700 , 74.63
27800 , 49.86
27900 , 45.01
28000 , 69.22
28100 , 46.65
28200 , 70.98
28300 , 36.86
28400 , 45.92
28400 , 49.09
28500 , 59.99
28600 , 74.50
28700 , 46.91
28800 , 84.48
28900 , 72.21
29000 , 53.33
29100 , 56.03
29200 , 95.66
29200 , 48.28
29300 , 56.76
29400 , 71.95
29500 , 66.39
29600 , 47.75
29700 , 63.11
29800 , 131.05
29900 , 80.67
29900 , 71.63
30000 , 100.40
30000 , 98.24
30100 , 75.18
30100 , 81.60
30200 , 71.20
30200 , 67.16
30300 , 77.29
30400 , 72.12
30500 , 55.69
30500 , 75.28
30500 , 69.49
30500 , 60.21
30600 , 59.72
30700 , 68.98
30700 , 64.08
30800 , 70.02
30800 , 63.28
30900 , 71.60
30900 , 75.23
31000 , 60.76
31100 , 84.66
31200 , 86.14
31300 , 57.51
31400 , 54.71
31500 , 63.99
31600 , 76.22
31700 , 49.57
31800 , 79.55
31900 , 76.53
32000 , 109.53
32100 , 44.41
32100 , 47.56
32200 , 55.61
32300 , 43.28
32400 , 59.79
32500 , 94.91
32600 , 51.28
32700 , 81.30
32800 , 103.57
32900 , 99.22
33000 , 94.61
33000 , 88.32
33100 , 96.85
33200 , 71.09
33300 , 81.65
33400 , 77.42
33500 , 69.01
33500 , 72.46
33600 , 82.04
33600 , 83.16
33700 , 100.74
33800 , 65.93
33900 , 77.78
34000 , 106.64
34100 , 99.39
34200 , 86.48
34200 , 79.53
34100 , 97.22
34000 , 63.19
34000 , 62.97
34000 , 69.99
34000 , 59.68
34000 , 62.18
34000 , 69.29
34000 , 89.04
